mouse_gene,human_gene,mouse_delta_AD_minus_WT,human_delta_AD_minus_Control,human_p,human_fdr,mouse_padj,same_direction
Map2,MAP2,0.2076060469213657,0.050220048027703745,1.0,1.0,5.76193049870341e-54,True
Map4,MAP4,-0.0552792012152708,0.04841195790746339,0.8857142857142857,1.0,6.637726852308705e-08,False
Map6,MAP6,0.2139019834332334,-0.028227002778286048,0.4857142857142857,1.0,0.0342413426533996,False
Map9,MAP9,0.350572601369414,-0.23134412527677362,0.1,0.9506493506493506,0.0070356229868408,False
Mapk1,MAPK1,0.0409997606636087,0.025714513302878217,0.34285714285714286,1.0,1.3041101025868673e-42,True
Mapk10,MAPK10,-0.7674039567537135,0.007378286178234772,0.6857142857142857,1.0,0.0,False
Mapre2,MAPRE2,0.0598777818099697,0.01426713454360451,0.8857142857142857,1.0,0.0086141868487267,True
Mapt,MAPT,0.0131426452083419,0.12519169739849334,1.0,1.0,0.2975421737099311,True
Marcks,MARCKS,-0.9697249848787484,0.32215196219093256,0.34285714285714286,1.0,7.10121578288974e-163,False
Matr3,MATR3,0.1041892144819612,0.022568240692911745,1.0,1.0,2.1010311936530322e-45,True
Mbp,MBP,-0.002840420908126,0.03918534000756946,0.6857142857142857,1.0,7.625337516715654e-05,False
Mef2c,MEF2C,0.0779678296988691,-0.04887694235338225,0.6857142857142857,1.0,9.274436391538612e-26,False
Mef2d,MEF2D,-0.1926496814508648,0.3184974263497974,0.7,1.0,3.8788655324665446e-122,False
Meg3,MEG3,0.3009038806876097,0.0420212919562033,0.8857142857142857,1.0,0.0,True
Mesd,MESD,0.3773828240564642,-0.005199976803077377,0.7,1.0,9.52805436071887e-07,False
Mia3,MIA3,0.1197766354016354,-0.10391932760365685,0.8857142857142857,1.0,0.0002625874359199,False
Miat,MIAT,-0.0153175057208236,-0.4801829451766263,0.1,0.9506493506493506,0.8117957671027726,True
